№,Секунда,Микросекунда
1,33,828746
2,33,838878
3,33,848897
4,33,858910
5,33,868955
6,33,879001
7,33,889019
8,33,899047
9,33,909526
10,33,919544
11,33,929602
12,33,939617
13,33,949636
14,33,959663
15,33,969677
16,33,979705
17,33,989741
18,33,999782
19,34,9844
20,34,19886
21,34,29913
22,34,40438
23,34,50585
24,34,60626
25,34,70672
26,34,81194
27,34,91230
28,34,101745
29,34,111798
30,34,121822
31,34,132298
32,34,142330
33,34,152378
34,34,162425
35,34,172449
36,34,182463
37,34,192748
38,34,202783
39,34,212826
40,34,222879
41,34,232942
42,34,242978
43,34,252997
44,34,263440
45,34,273466
46,34,283514
47,34,293663
48,34,303681
49,34,313705
50,34,324228
51,34,334269
52,34,344374
53,34,354421
54,34,364461
55,34,374803
56,34,384996
57,34,395039
58,34,405079
59,34,415132
60,34,425503
61,34,435555
62,34,445598
63,34,456112
64,34,466139
65,34,476181
66,34,486216
67,34,496239
68,34,506552
69,34,516722
70,34,526927
71,34,536963
72,34,547527
73,34,557572
74,34,567600
75,34,577766
76,34,587942
77,34,597985
78,34,608044
79,34,618251
80,34,628304
81,34,638660
82,34,648703
83,34,658765
84,34,668813
85,34,678991
86,34,689031
87,34,699077
88,34,709373
89,34,719407
90,34,729454
91,34,739505
92,34,749553
93,34,760055
94,34,770557
95,34,781059
96,34,791561
97,34,802062
98,34,812565
99,34,823066
100,34,833568
101,34,844071
102,34,854573
103,34,865073
104,34,875576
105,34,886077
106,34,896580
107,34,907082
108,34,917583
109,34,928085
110,34,938586
111,34,949088
112,34,959591
113,34,970093
114,34,980594
115,34,991096
116,35,1494
117,35,11994
118,35,22016
119,35,32042
120,35,42500
121,35,52526
122,35,63036
123,35,73055
124,35,83494
125,35,94009
126,35,104028
127,35,114072
128,35,124085
129,35,134594
130,35,145090
131,35,155109
132,35,165128
133,35,175159
134,35,185194
135,35,195216
136,35,205236
137,35,215250
138,35,225671
139,35,235691
140,35,245705
141,35,255723
142,35,266225
143,35,276727
144,35,287230
145,35,297731
146,35,308233
147,35,318736
148,35,329237
149,35,339255
150,35,349752
151,35,359995
152,35,370497
153,35,380999
154,35,391501
155,35,402003
156,35,412504
157,35,423007
158,35,433509
159,35,444010
160,35,454512
161,35,465014
162,35,475516
163,35,486017
164,35,496520
165,35,507021
166,35,517523
167,35,528025
168,35,538527
169,35,549028
170,35,559531
171,35,570033
172,35,580535
173,35,591036
174,35,601538
175,35,611995
176,35,622036
177,35,632088
178,35,642123
179,35,652162
180,35,662201
181,35,672219
182,35,682235
183,35,692269
184,35,702289
185,35,712313
186,35,722746
187,35,732778
188,35,743251
189,35,753271
190,35,763294
191,35,773307
192,35,783787
193,35,793809
194,35,804232
195,35,814326
196,35,824814
197,35,834995
198,35,845496
199,35,855995
200,35,866498
201,35,876999
202,35,887496
203,35,897997
204,35,908500
205,35,919001
206,35,929503
207,35,940005
208,35,950507
209,35,961008
210,35,971497
211,35,981999
212,35,992501
213,36,3002
214,36,13505
215,36,24006
216,36,34508
217,36,44999
218,36,55502
219,36,65532
220,36,76017
221,36,86063
222,36,96547
223,36,107057
224,36,117495
225,36,127527
226,36,137547
227,36,147579
228,36,157607
229,36,167627
230,36,177646
231,36,187672
232,36,197689
233,36,208083
234,36,218495
235,36,228995
236,36,239013
237,36,249504
238,36,260004
239,36,270516
240,36,281018
241,36,291520
242,36,301995
243,36,312497
244,36,322999
245,36,333500
246,36,343580
247,36,353602
248,36,363643
249,36,373668
250,36,383703
251,36,393724
252,36,403766
253,36,413784
254,36,423798
255,36,434027
256,36,444532
257,36,454573
258,36,464605
259,36,474639
260,36,485070
261,36,495101
262,36,505497
263,36,515541
264,36,526008
265,36,536497
266,36,546522
267,36,556996
268,36,567028
269,36,577496
270,36,588010
271,36,598512
272,36,609001
273,36,619050
274,36,629102
275,36,639125
276,36,649149
277,36,659184
278,36,669234
279,36,679632
280,36,689660
281,36,699688
282,36,710010
283,36,720028
284,36,730060
285,36,740090
286,36,750123
287,36,760152
288,36,770183
289,36,780227
290,36,790566
291,36,800594
292,36,810639
293,36,820670
294,36,830696
295,36,841066
296,36,851575
297,36,861602
298,36,871621
299,36,881638
300,36,891655
